	_id	about	about_en	category	checked	description	description_en	engagement	error	id	likes	location	name	name_en	phone	phone_en	relevant	retrieved	start_info	start_info_clean	talking_about_count	website	website_en
192	{u'$oid': u'5601f958c5fd9455673e294a'}		Egypt Europe Festival Egypt Europa Festival	Community	[1447554384]		"Egypt Europe Festival Egypt Europa Festival

The festival targets

- Promote tourism through our offices in Europe and by supporting the Egyptians staying in Al-Kharj.
- Action Ultimate rates for hotels and tourism companies of the festival.
- Promote tourism city of Alexandria and the Tourism Promotion.
- Cultural exchange between the Msroaurba promises and tourism safety and security.
- Activate the Egyptian economy.
- Starting several youth tourist projects derived from the joint festival between Egypt and Europe.

==============================
The festival plan

Held an introductory ceremony in Europe in Amsterdam - Netherlands for a number of Egyptian stars under the slogan ""night Pena visit Egypt,"" where the Egyptians living abroad the work of the promotional role of the friends of the foreigners and their calls for the festival and promotion to visit Egypt, and especially Alexandria where the festival is held there.
Festival ""Egypt Europe""
Citadel of qaitbay region in Alexandria on 1 and 2 September Festival ""Egypt Europe"" held under the auspices of the Ministry of youth and sports.
The festival aims to promote cultural exchange between Egypt and Europe and promote tourism and support the Egyptians living abroad, which helps to activate the Egyptian economy and launching several youth projects of tourist Festival is shared between Egypt and Europe.
Mona Zahran the owner of Festival idea she chose ""almidoza"" icon of the Festival is a symbol of the Roman goddess of the sea and is also linked to the history of Europe when overlapping with Egypt.
She added that the Festival will present the opening of the first European ""youth Egyptian channel tv Youth Tv"" Together with the Netherlands branch manager and Founder President of Cleopatra fragrance Mahmoud, is a youth channel, self-help.
Participate in organizing the Festival: youth productions Foundation for media production and artistic, Cleopatra, in conjunction with the Dutch Foundation young Egypt, farm and marine residents Association for development in addition to the Organization of the Champs Elysees.
It is worth mentioning that it was a preliminary ceremony of the Festival on May 15 in Amsterdam Netherlands a number of Egyptian stars under the banner of ""Yalla Bena visit Egypt, where the Egyptians living abroad work promotional role for their xenophobia and calls for the promotion of the Festival and to visit Egypt, particularly Alexandria"	338		1.43650867665e+15	338.0		مهرجان مصر أوروبا egypt europa festival	egypt europe festival egypt europa festival				1442969836.1	{u'date': {u'year': 2015}, u'type': u'Launched'}	2015	16.0	http://www.youth-production.com	
34	{u'$oid': u'55fb3f3ec5fd9455673c2b3d'}			Community	[1444685876, 1449140830, 1449376209, 1449605030, 1449851908]			4877		6.91722337606e+14	4877.0		withsyria					1442529066.5	{u'date': {u'year': 2015, u'day': 12, u'month': 3}, u'type': u'Launched'}	2015/3/12	40.0	http://www.withsyria.com	
117	{u'$oid': u'55fca97ec5fd9455673d53de'}		Independent media network aims to convey the truth as it is by its correspondents deployed within Syria	Media/News/Publishing	[1447463030]		"The Daash attack on the northern countryside of Aleppo is not intended to thwart the army free attempts in the liberation of the city of Aleppo and control of the countryside as a prelude to encircle Aleppo or storm but it is a part of the US-allied strategy with the PKK to connect the Kurdish areas in northern Syria to each other can not be progress Kurdish units openly toward Izaz down to Afrin only the existence of appropriate US-backed any pretext can be better than a herd-Baghdadi, who performs under foreign agendas and fight the apostates of the Awakening slogan pretext.
Is Turkey aware of the scheme and take a firm attitude towards support for Mabaki of the rebels in the northern countryside in order to defeat the Daash to post the Euphrates and the only fear what is coming and the planned American-backed Kurdish and the Syrian regime is implemented strictly leaving only little.
Will the rebels aware of this and overcome Onanyatem and allegiances of the faction and supporter ????"	10226		3.79439568916e+14	10226.0	{u'city': u'Manbi', u'zip': u'13000', u'country': u'Syria', u'longitude': 37.9564, u'street': u'Manbi, Halab, Syria 2014sokak', u'latitude': 36.5267}	سوريا الحدث syria elhadat	syria event syria elhadat	00936852475			1442621614.43	{u'date': {u'year': 2015, u'day': 20, u'month': 6}, u'type': u'Unspecified'}	2015/6/20	680.0	http://manbij1555.blogspot.com.tr/	http://manbij1555.blogspot.com.tr/
29	{u'$oid': u'55fb3e36c5fd9455673c28e3'}		"Welcome on the page of the Syrian Revolution.

Follow-up in Twitter:

https://twitter.com/RevolutionSyria"	Media/News/Publishing	[1446426698]		"Page Syrian Revolution

Page national, was established on Tuesday, January 18 / January 2011, at the hands of a number of Syrian activists, in order to end the shed junta Almafueh in Syria, which captured coups and genetics over the reins of Syria, Vgmth iron and fire and terror, and made it one of the worst repression models known to the whole region.

The first call to demonstrate:

Called on the page to demonstrate on 15 March / March 2011 in Hamidiya market, has a number of activists Page participated in the demonstration, and arrested many of the young men on that day, but it was the spark the beginning of the Syrian revolution on the impact of the great tension in the city of Daraa because its intelligence agents the arrest of children in the city have written on the walls of their school terms calls to topple the regime and calling for the departure of Bashar al-Assad.

Called Page to join the demonstration had been coordinated by the families of political prisoners on Wednesday, March 16 / March, and in front of the Interior Ministry to demand the release of detainees, later the same day it was announced across the page to name the first Friday of the Syrian revolution entitled: Juma dignity , and that on 18 March / March.

On 18 March / March rose up in the city of Daraa Daraa region of the country, specifically from the Omari mosque, and the demonstration was very massive and the thousands, and it was the goal of the people then edit their children's children detainees in Syrian prisons. Several other demonstrations have been recorded on that day, including Banias, also in Homs, and that came out of them a demonstration of Khalid ibn al-Walid Mosque.

Network members

It works in the Page / network of more than 150 activists and activist, all working voluntarily complete. They are distributed on special teams as follows:

Syrian Revolution Network Management
Management Team in Page Revolution
Strategic Planning Team
Monitoring Team News
Team Multimedia
Moral Guidance team
The technical team of technical and safety
Advisory body of the page: It comprises a number of political and media Syrian and artistic personalities, who are consulted on various topics almost daily.

/ Network Syrian Revolution Page functions
- Management and planning and organizing media and the revolutionary and political campaigns.
- Coordination between the various field and revolutionary and political groups, including in the interest of the joint Syrian decision.
- The transfer of a picture of what is happening in Syria to the world, and coordinate actively with the media and international organizations.
- Provide information products that can be used in the pages and sites of the network, or in the rest of the Web sites and pages.
- Taking the names of proposals Friday Altenseekiet revolutionary bodies and put it on the page to vote, to choose a name on Friday.
- The transfer of important news across the page

The Syrian Revolution page on facebook.

A message for facebook! Our main goal of this page is to gain freedom in Syria. The freedom in Syria is a DREAM we used to have everyday. Even facebook was Banned in Syria and because of our page we succeeded to lift the ban on Facebook in all of Syria! Syrian gov .... say that they have lifted the ban to allow Syrians to respond and attack us. But in fact, Syrians are Supporting us More and more! Our supporters count is increasing continuously. Please Contact us if you need more Information. We will provide you with everything we could. Thank you! :) It's a peaceful revolution, peaceful protests, peaceful demonstrations. We are against any type of racism, and against any type of violence. We will NOT tolerate any racist comments or posts against anyone. We will NOT tolerate any comments or posts urging the call for violence, or any sort of harmful behaviour against anyone. We are Syrian Activists of rights.

We are against any form of racial and sectarian discrimination
We will not tolerate any racist comments or any calls for violence or any mischievous behavior against any person whoever he is"	1060093		4.20796315726e+11	1060093.0	{u'city': u'Aleppo', u'zip': u'N/A', u'country': u'Syria', u'longitude': 36.8382607, u'street': u'5', u'latitude': 36.1312294}	the syrian revolution 2011 الثورة السورية ضد بشار الاسد	the syrian revolution 2011 syrian revolution against bashar al assad	<<not-applicable>>			1442528677.0			238220.0	http://www.TheSyrianNetwork.net	
101	{u'$oid': u'55fc97fec5fd9455673d1bad'}		"We are writing for children and mothers Syria for the Syrian people weary of life
We look for hope in their eyes and in the rubble. .
# Syria .."	Community	[1444793564]			19356		4.80766362077e+14	19356.0		سوريا	syria				1442617011.07			13157.0		
18	{u'$oid': u'55fb3b9cc5fd9455673c21ac'}			Community	[1444672527, 1449057624, 1449259613, 1449587491, 1449828432, 1450175597]		THE WHOLE TRUTH ON SYRIA - THE WHOLE TRUTH ABOUT SYRIA - ВСЯ ПРАВДА ДЛЯ СИРИЙ - لواء الجيش الشعبي لنصره سوريا ضد الارهاب	11877		6.83442598374e+14	11877.0		syrian news					1442528093.44			10621.0		
90	{u'$oid': u'55fc8734c5fd9455673cea43'}		"Competent to publish a new page news firsthand Syria
Hope you support and follow-up Page"	Media/News/Publishing	[1444744107]			275991		1.44701290553e+15	275991.0		سوريا الیوم	syria today				1442612436.76			8066.0		
158	{u'$oid': u'5601bf5cc5fd9455673deb9d'}		"Official Page Foundation Arabs {Europe}
Websites and forums of the Foundation"	Society/Culture Website	[1447505554]		"Communicate with all who cares about the community and the European immigration or passport or study in Europe
Charcot us Arabs in Europe, the social site and know a lot of friends living in European countries"	10970		3.90849790989e+14	10970.0		مؤسسة عرب أوروبا	arabs europe foundation				1442953892.94			6983.0	http://arabeuropa-s.com	http://arabeuropa-s.com
158	{u'$oid': u'5601bf5cc5fd9455673deb9d'}		"Official Page Foundation Arabs {Europe}
Websites and forums of the Foundation"	Society/Culture Website	[1447505554]		"Communicate with all who cares about the community and the European immigration or passport or study in Europe
Charcot us Arabs in Europe, the social site and know a lot of friends living in European countries"	10970		3.90849790989e+14	10970.0		مؤسسة عرب أوروبا	arabs europe foundation				1442953892.94			6983.0	http://arabeuropa-s.com	http://arabeuropa-s.com
14	{u'$oid': u'55fb3957c5fd9455673c160e'}		"Ask our specialty programs, games and daily proxies Acialhbalaifun, iPad
And finding appropriate solutions for everything related to the problems of the iPhone and iPad"	Local Business	[1446196567]			24667		3.00969270044e+14	24667.0	{u'latitude': 33.5131, u'city': u'Damascus', u'longitude': 36.2919, u'zip': u'18020', u'country': u'Syria'}	تفاحة سوريا   syria apple	apple syria   syria apple	+963112210681			1442527459.49			4804.0	http://www.syria-apple.com	
5	{u'$oid': u'55fb3629c5fd9455673c08c9'}		Syria In a specialized news site transfer of Syrian expatriates all over the world, and the activities of the Syrian communities, in addition to all the activities inside Syria.	Society/Culture Website	[1444668215, 1449031114, 1449229470, 1449559653, 1449800662, 1450147470]			7965		6.79138745548e+14	7965.0		syria in					1442526713.76			2739.0	http://www.syria-in.com	
5	{u'$oid': u'55fb3629c5fd9455673c08c9'}		Syria In a specialized news site transfer of Syrian expatriates all over the world, and the activities of the Syrian communities, in addition to all the activities inside Syria.	Society/Culture Website	[1444668215, 1449031114, 1449229470, 1449559653, 1449800662, 1450147470]			7965		6.79138745548e+14	7965.0		syria in					1442526713.76			2739.0	http://www.syria-in.com	
41	{u'$oid': u'55fb40f9c5fd9455673c35dd'}		Official Page of the only licensed companies and offices in Syria exchange	Community	[1447098502]		"Page is a national banking institutions licensed in accordance with the law \ 24, 2006 in the Syrian Arab Republic.
 We publish exchange rates (cash-transfers) of the real exchange institutions licensed on a daily basis and directly, in addition to a group of companies, offices, services and decisions in the field of banking credibility, transparency and responsibility news.
Our goal is the delivery of the real price of foreign currency in the Syrian market and the face of all the pages and applications misleading public opinion, as we aim to help citizens in obtaining the necessary pieces to finance their needs through the reception of requests and direct them to the institutions that Atovrfaita pieces Alohnbe as well as receive all complaints about bad service in exchange institutions and helping to solve them."	17741		5.23705867762e+14	17741.0		syrian exchange broker					1442529468.23			1634.0	http://Syrianexchangebroker.com/	http://Syrianexchangebroker.com/
51	{u'$oid': u'55fb597bc5fd9455673c39de'}			Community	[1444716757, 1449452916, 1449875929]			1471		4.17632761764e+14	1471.0		مهاجرون بلاحدود	immigrants without borders				1442535788.47			1065.0		
342	{u'$oid': u'5602b69ec5fd9455673f0d62'}		"j""aime hna khawti  allah yahfadkom ;) https://www.facebook.com/hna.fi.hna48"	Community	[1444400841, 1449002406, 1449192022, 1449516344, 1449621258, 1450110269]		"j""aime hna khawti allah yahfadkom ;) https://www.facebook.com/hna.fi.hna48"	1516		1.64693607555e+15	1516.0		الرحلة الى أوروبا 2	2 trip to europe				1443018319.94			950.0	http://www.facebook.com/hna.fi.hna48london	
302	{u'$oid': u'56027ae9c5fd9455673ec277'}		I offer you a car and driver, tour guide and translator in Germany and neighboring European countries service	Business Services	[1444963985]			1413		1.00942161242e+15	1413.0	{u'city': u'Dortmund', u'zip': u'44329', u'country': u'Germany', u'longitude': 7.5086198, u'street': u'in der teufe 1', u'latitude': 51.5561714}	مرشد سياحي / أوروبا	a tour guide / europe	+4915737744492			1443003036.41			931.0	https://docs.google.com/document/d/1L_8_ssZBOLtsH8hgvGEy6lfOzQtZDkZGhxM7AnWsG_Q/edit?usp=sharing	https://docs.google.com/document/d/1L_8_ssZBOLtsH8hgvGEy6lfOzQtZDkZGhxM7AnWsG_Q/edit?usp=sharing
891	{u'$oid': u'5612adb1c5fd9419732f83bc'}			Travel/Leisure	[1445917390]			7221		3.15127931946e+14	7221.0	{u'latitude': 53.7, u'city': u'Gessin', u'street': u'germany', u'longitude': 12.7167, u'country': u'Germany'}	اللجوء في المانيا	asylum in germany				1444063578.1			789.0	http://Www.Tota.com	
145	{u'$oid': u'56019c4fc5fd9455673dc0c8'}		Of the benefits of laughter strengthen the immune system and reduce high blood pressure and raise mental performance and other	Local Business	[1447496549]			69162		3.45881485508e+14	69162.0	{u'city': u'London', u'zip': u'16001', u'country': u'United Kingdom', u'longitude': -0.12721, u'street': u'United Kingdom', u'latitude': 51.5064316}	الهجرة الى اوروبا	migration to europe				1442944779.57			743.0	https://www.facebook.com	
147	{u'$oid': u'5601a279c5fd9455673dd0b1'}		♡ ♡♡ ♡♡ ♡♡ ♡♡ ♡♡ ♡♡ ♡♡ ♡♡ ♡♡ ♡♡ ♡♡ ♡♡ ♡♡ ♡♡ ♡♡ ♡♡ ♡♡ ♡♡ ♡♡ ♡♡ ♡♡ ♡♡ ♡♡ ♡♡ ♡♡ ♡♡ ♡♡ ♡♡ ♡♡ ♡♡ ♡♡ ♡♡ ♡♡ ♡♡ ♡	Community	[1447497607]			6661		3.93587787503e+14	6661.0		عُشًًاق آُُوُرُُوٌباً	lovers europe				1442947537.49			724.0		
24	{u'$oid': u'55fb3cb1c5fd9455673c23bf'}			Media/News/Publishing	[1444676330, 1449086638, 1449320967, 1449591576, 1449832245, 1450193517]			50979		4.75333389157e+14	50979.0		syria deeply					1442528351.42			577.0	www.syriadeeply.org	www.syriadeeply.org
38	{u'$oid': u'55fb403fc5fd9455673c3111'}			Community	[1444696523, 1449178235, 1449429890, 1449861673]			10726		1.62277993461e+15	10726.0		planet syria   كوكب سوريا	planet syria   syria planet				1442529298.33			520.0	http://www.planetsyria.org	
44	{u'$oid': u'55fb4163c5fd9455673c3794'}		The promotion of events and activities of the Ministry of Culture in the Syrian Arab Republic	Community	[1447117460]		"The events page and the Syrian Ministry of Culture and Page Syria is the spirit of Cultur on facebook Almatmdtan only two of the Syrian Ministry of Culture and publish the credibility of all cultural events and activities of the ministry ... nothing to do with the ministry to any other page bearing its name.
The work of the Page team works within the Ministry of Culture building in the Syrian Arab Republic, which is with you all the events and activities organized by the ministry to communicate with you and get to know your opinions and suggestions and thus to benefit from them in the development of cultural work ... and is always ready to Ajayh your queries."	4531		8.1934486813e+14	4531.0		فعاليات وزارة الثقافة السورية syrian ministry of culture s events	the activities of the syrian ministry of culture syrian ministry of culture s events				1442529605.55			361.0	http://www.moc.gov.sy	http://www.moc.gov.sy
329	{u'$oid': u'5602a21bc5fd9455673efcaf'}		"Milan, Tu Sei Tutta La Mia Vita ♥♥

 We aspire to become the best melanodes page you broadcast all news Milan
Help us publish the page that you like it

Forza Milan and never ♥♥"	Community	[1444998188]			11115		4.1239087211e+14	11115.0		ac milan امبراطور اوروبا	ac milan emperor europe				1443012295.95			298.0		
97	{u'$oid': u'55fc8fbfc5fd9455673cf825'}		Damascus paradise on earth on page variety. For a homeland Syria beloved Old and modern.	Community	[1444771912]			1592		2.17838895048e+14	1592.0		سوريا بلاد العز	syria country ezz				1442614967.05			291.0		
270	{u'$oid': u'56025eb7c5fd9455673ea4f9'}		Al Aqsa Martyrs Brigades :: Knights of the night sets in Europe ::	Media/News/Publishing	[1444953743]			2495		2.10613489098e+14	2495.0	{u'city': u'Nora', u'country': u'Sweden'}	مجموعات فرسان الليل أوروبا	knights of the night europe groups	<<not-applicable>>			1442995284.77			275.0		
207	{u'$oid': u'56020e31c5fd9455673e43a2'}		2 trip to Europe	Community	[1444400023, 1448999581, 1449184995, 1449508705, 1449613650, 1450110179]			695		9.3051986365e+14	695.0		الرحلة الى أوروبا	flight to europe				1442975210.89			265.0	http://www.facebook.com/hna.fi.hna48Dz	http://www.facebook.com/hna.fi.hna48Dz
11	{u'$oid': u'55fb3852c5fd9455673c12c3'}		"Official page of the Syrian civil Scouts

Syrian Private Scouts"	Community Organization	[1444668855, 1449035123, 1449233703, 1449564335, 1449805060, 1450151822]		Association - Detective / guidance - civil works to establish a developer community groups	4376		1.58965035129e+15	4376.0		syrian private scouts	syrian private scouts				1442527167.79			203.0		
82	{u'$oid': u'55fc77a6c5fd9455673cdff2'}		Page goal to upgrade the national situation of the Syrian nation	Community	[1447284403]			1582		1.52517870443e+15	1582.0	{u'city': u'سوريا', u'street': u'شارع الجلاء', u'zip': u'00963'}	سوريان	syrian				1442608742.97			182.0	https://www.facebook.com/pages/%D8%B3%D9%88%D8%B1%D9%8A%D8%A7%D9%86/1525178704428408?sk=info&tab=page_info&edited=name	
197	{u'$oid': u'560201aec5fd9455673e36bc'}		salam alikom the Muslim dating page with respect and seriousness imposed our beautiful religion, find love, a wedding, God willing	Community	[1447574355]			1090		1.69979053187e+14	1090.0		زواج المسلمين في اوروبا mariage des musulmans en europe	marriage muslims in europe mariage des musulmans en europe				1442971671.51			172.0	http://www.twitter.com	
163	{u'$oid': u'5601ccf9c5fd9455673df933'}		"General Coordinator of the Syrian Revolution Coordinators Union in Europe
E. mail: syrianrevolutionineurope@gmail.com"	Community	[1447520066]		"Syrian Revolution Coordination Europe ..
It is the general coordinator of the Syrian Revolution Coordinators Union in Europe
As a framework independent media and coordinating featuring Tenseekiet and gatherings Syrian communities free in Europe and no one followed only the great Syrian people and their revolution blessed and committed to its objectives in the overthrow of the regime and the establishment of a state of freedom, law and democracy where .. and this union is seeking to any political or other gain but to provide a framework inclusive committed and effective to coordinate events and activities Syrian free communities in Europe and uphold the word of the Syrian people Rebel and Ohrarh and delivery to the fullest extent possible in Ooroba..mn through coordination and support joint campaigns Tenseekiet and dissemination activities and news of individual members of each of them in addition to covering the most important events and developments concerning the Syrian revolution within home and in Europe ... are committed together ... together ... until victory.
Glory and eternity to our faithful martyrs for the freedom of our detainees ... brave ... Victory for Syria rebels Alobtal..oualemjd and freedom for Syria and its people to great."	4564		1.62476997142e+14	4564.0		the syrian revolution in europe  الثورة السورية تنسيق اوروبا	the syrian revolution in europe syrian revolution coordination europe				1442957679.74			141.0	http://syrian-euro.blogspot.com/	http://syrian-euro.blogspot.com/
854	{u'$oid': u'56128e38c5fd9419732f71bf'}		"Dear brother :
Established this page to help the Syrian brothers who fled to other countries
Please to provide any information to help them in case you get it"	Cause	[1445901698]		This page to communicate among displaced people and displaced Ksraa..nhn wishing to help in the provision of asylum .. and give them a walled-Fi and assist as much as possible ....	972		3.83506805078e+14	972.0	{u'city': u'دمشق', u'street': u'سوريا', u'zip': u'011'}	منظمة اللجوء السورية	syrian asylum organization	00963011			1444056502.0			141.0	http://www.refugee.com	http://www.refugee.com
129	{u'$oid': u'560091dfc5fd9455673d811f'}		Travel and recourse to Europe to continue on your	Community	[1444808854]			24958		1.52570638271e+14	24958.0		طرق اللجوء الى اوروبا	seekers to europe routes				1442877677.99			140.0		
124	{u'$oid': u'56008d7ec5fd9455673d7a35'}		"Tips and topics related to everything related to the Arab life in the continent of Europe.
Tips for visas - asylum and immigration - work as a doctor in Germany."	Society/Culture Website	[1444409959, 1449010349, 1449207804, 1449534820, 1449775796, 1450124679]			22835		6.66454190098e+14	22835.0		arabs in europe   العرب في أوروبا	arabs in europe   arabs in europe				1442876301.84			139.0	http://arabineuropa.com/	http://arabineuropa.com/
124	{u'$oid': u'56008d7ec5fd9455673d7a35'}		"Tips and topics related to everything related to the Arab life in the continent of Europe.
Tips for visas - asylum and immigration - work as a doctor in Germany."	Society/Culture Website	[1444409959, 1449010349, 1449207804, 1449534820, 1449775796, 1450124679]			22835		6.66454190098e+14	22835.0		arabs in europe   العرب في أوروبا	arabs in europe   arabs in europe				1442876301.84			139.0	http://arabineuropa.com/	http://arabineuropa.com/
678	{u'$oid': u'5604c204c5fd945567409a4c'}		П┐(◣_◢)┌П┐ ╔══╗ ♥ ♫ ♥ ║██║ ♫ ♥ ♫ ║(O)║ ╚══╝ Play :: █ ▄ █ ▄ ▄ █ ▄ █ ▄ █ Min- - - - - - - - - - - -●Max ► Play. ▌▌Pause - dRagonForce	Community	[1444410864, 1449010825, 1449209197, 1449536374, 1449777417, 1450126304]			593		7.42169402572e+14	593.0		عَشِْْاقَ  طْآطْآتْ آُُوُرُُوٌباً	lovers looked down europe				1443152319.49			126.0	http://www.tatat_ouropa.com	
1037	{u'$oid': u'5614c5b6c5fd9419732fddc6'}		I am God, and I love you and I will always remember	Community	[1445930541]			2101		1.64094467122e+14	2101.0		خدای شوخ مهربان	god witty kind				1444201345.08			113.0	http://www.youtube.com/	
254	{u'$oid': u'56024accc5fd9455673e898a'}		We welcome all Arabs living outside their country and invites page Arabs in Europe Arabs in Europe to follow them and welcome everyone.	Community	[1444942627]			2093		2.15987308555e+14	2093.0		عرب في أوروبا arabs in europe	arabs in europe arabs in europe				1442990707.77			110.0		
227	{u'$oid': u'56022adac5fd9455673e6842'}		"Dear visitor, we are pleased Jam and Komntek like it and and an overall Abestamtk our goal and silence bothers us
║▌║█║│▌ █ ││║▌║ © ®"	Company				3598		1.63478445676e+15	3598.0	{u'latitude': 51.5072, u'city': u'London', u'longitude': -0.1275, u'country': u'United Kingdom'}	ii عشّاق أوروبَا	ii عشّاق أوروبَا			0.0	1442982268.88			106.0		
79	{u'$oid': u'55fc2f43c5fd9455673ccbab'}			Local Business	[1444719340, 1449459060, 1449882269]		Syria is free	4295		3.37436816294e+14	4295.0	{u'latitude': 36.2047453044, u'longitude': 37.1285337445}	سوريا حلب	syria   halab	<<not-applicable>>			1442590530.97			95.0	<<not-applicable>>	
171	{u'$oid': u'5601dc40c5fd9455673e0a95'}		Migration routes and immigration information to Europe and America	Community	[1444402713, 1449004686, 1449195550, 1449520401, 1449622548, 1450111560]			1408		1.37965514894e+15	1408.0		طرق الهجره و معلومات الهجرة الى اوروبا وامريكا	migration routes and immigration information to europe and america				1442962417.65			94.0		
150	{u'$oid': u'5601adb8c5fd9455673ddbcd'}		Dubarh Europe is the first service network between the Syrians working to support them wherever they are and provide appropriate solutions to them in all EU states	Community	[1444821121]			2537		9.88398201182e+14	2537.0		دوبارة اوروبا dubarah _ euro	dubarh europe dubarah _ euro				1442950505.88			92.0		
190	{u'$oid': u'5601f85dc5fd9455673e28d4'}		Arab page to share the beauty of the country and Aloorobia many ways and low commissioned for a residence and a construction company in Europe.	Business Services	[1447554253]		Arab page to share the beauty of the country and Aloorobia many ways and low commissioned for a residence and a construction company in Europe, and also how the academic and social life in Europe	419		8.42648602445e+14	419.0	{u'latitude': 47.5084024811, u'city': u'Budapest', u'street': u'Kapás utca 11 1027', u'longitude': 19.0330358114, u'country': u'Hungary'}	الهجرة والإقامة في أوروبا	immigration and stay in europe	+36704108447			1442969627.18			78.0	http://www.HELPERS.HU	
87	{u'$oid': u'55fc803fc5fd9455673ce917'}		"Not need to be Syria,
Syria was established to Page | Ṩyria enough for me that I am a Muslim to bring the case, ""]"	Community	[1444730687]		"Syria's private space """	3193		1.58513650959e+14	3193.0	{u'city': u'Casablanca', u'country': u'Morocco'}	سُورِيّآ |ṩyria	سوريآ | syria				1442610913.83			76.0		
57	{u'$oid': u'55fb5a63c5fd9455673c3a95'}		"Noorani heart and trained mujahideen .. O my soul hath Insam happiness ~
Your God go with me .."	Community	[1444717391, 1449455343, 1449878500]			467		1.63183854042e+15	467.0		••مهآجرون لله نمضي ••	•• •• immigrants go to god				1442535946.24			71.0		
193	{u'$oid': u'5601fae1c5fd9455673e2c61'}			Community/Government	[1447573162]		Dm'ua life ,, and Europe M'hrua ,, and the V A'za another topic	8026		9.600715707e+14	8026.0	{u'city': u'Alger Plage', u'zip': u'12554', u'country': u'Algeria', u'longitude': 3.23333, u'street': u'عشآق-آؤرؤبأ-ღẸuЯŎ-ღ-lovresღ', u'latitude': 36.8}	عشآق آؤرؤبأ ღẹuяŏ •ღ• lovresღ	ẹuяŏ • w w w عشآق آؤرؤبأ • lovres				1442969954.99			69.0	https://www.facebook.com/pages/%D8%B9%D8%B4%D8%A2%D9%82-%D8%A2%D8%A4%D8%B1%D8%A4%D8%A8%D8%A3-%E1%83%A6%E1%BA%B8u%D0%AF%C5%8E-%E1%83%A6-lovres%E1%83%A6/9600	https://www.facebook.com/pages/%D8%B9%D8%B4%D8%A2%D9%82-%D8%A2%D8%A4%D8%B1%D8%A4%D8%A8%D8%A3-%E1%83%A6%E1%BA%B8u%D0%AF%C5%8E-%E1%83%A6-lovres%E1%83%A6/9600
673	{u'$oid': u'5604ae7bc5fd94556740968c'}		We offer you some smuggling routes to Europe at nominal prices across the aviation and sea	Travel/Leisure	[1448704664]			3456		3.20905834748e+14	3456.0	{u'latitude': 41.03416, u'city': u'Istanbul', u'longitude': 28.896205, u'country': u'Turkey'}	الهجره الغير شرعية الى اوروبا	illegal immigration to europe	0545 580 53320			1443147135.21			62.0	https://www.facebook.com/pages/getting_started?page_id=320905834747954&ref_type=logout_gear	https://www.facebook.com/pages/getting_started?page_id=320905834747954&ref_type=logout_gear
238	{u'$oid': u'56023b30c5fd9455673e77c5'}		Page of the site Arabs social Europe Charcot McKenna	Society/Culture Website	[1444932438]		"The page will display the all-new social site Arabs Europe
It is a special site on all matters relating to the European
http://arabeuropa-s.com/"	297		2.78990115568e+14	297.0		صفحة الهجرة الي أوروبا	page migration to europe				1442986257.42			62.0	http://arabeuropa-s.com	http://arabeuropa-s.com
238	{u'$oid': u'56023b30c5fd9455673e77c5'}		Page of the site Arabs social Europe Charcot McKenna	Society/Culture Website	[1444932438]		"The page will display the all-new social site Arabs Europe
It is a special site on all matters relating to the European
http://arabeuropa-s.com/"	297		2.78990115568e+14	297.0		صفحة الهجرة الي أوروبا	page migration to europe				1442986257.42			62.0	http://arabeuropa-s.com	http://arabeuropa-s.com
1006	{u'$oid': u'56149a23c5fd9419732fc7f9'}			Community	[1448985568]			4852		4.48904925166e+14	4852.0		خداي مهربون	god kind				1444190563.96			55.0		
689	{u'$oid': u'5605030bc5fd94556740a21a'}		"Daily flights to Europe and Greece from Bodrum Yacht tourist city by land sea air to reach with Abu Mohammed al-Hamwi phone (00905319717513) (00905388781676)
Prices are very acceptable"	Business Person	[1445293971]			511		8.23576161024e+14	511.0	{u'city': u'Istanbul', u'street': u'تركيا', u'zip': u'All', u'country': u'Turkey'}	رحلات النواعير الى أوروبا واليونان مع ابو محمد الحموي	noria flights to europe and greece with abu mohammed al hamwi	00905319717513			1443168951.75			50.0	http://www.example.com	
58	{u'$oid': u'55fb5a80c5fd9455673c3acb'}			Community	[1444717583, 1449455639, 1449878765]			64		4.91805090996e+14	64.0		مهاجرون الى أمريكا	immigrants to america				1442536036.46			48.0		
1084	{u'$oid': u'5615161bc5fd941973300672'}			Community	[1445976846]			196		2.36057296543e+14	196.0		به یاد پدرعزيز و مهربانم	remember pdrzyz  the merciful				1444222145.98			47.0		
126	{u'$oid': u'56008f9fc5fd9455673d7af7'}		Special page Syrians and Arab brothers who are interested service migration to Europe	Community	[1444808004]			256		3.78927898869e+14	256.0		الهجرة الى اوروبا من تركيا	migration to europe from turkey				1442877280.84			45.0		
880	{u'$oid': u'5612a01ac5fd9419732f7964'}		Important Tips and facilitate Aldhab to Germany	Transport/Freight	[1445907035]			296		7.82974645134e+14	296.0	{u'city': u'Tripoli', u'zip': u'00218', u'country': u'Libya', u'longitude': 13.1858, u'street': u'ليبيا', u'latitude': 32.9022}	اللجوء و الهجرة لليبيين فقط إلى ألمانيا	asylum and immigration to the libyans only to germany				1444061125.4			41.0	https://m.facebook.com/profile.php?id=782974645133922	
